venue,innings,batting_team,bowling_team,striker,bowler,total_runs
Arun Jaitley Stadium,1,Delhi Capitals,Sunrisers Hyderabad,"['PP Shaw', 'S Dhawan', 'SS Iyer']","['Mohammad Nabi', 'B Kumar', 'S Kaul']",36
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Capitals,"['DA Warner', 'JM Bairstow']","['CH Morris', 'AR Patel', 'K Rabada', 'S Lamichhane']",61
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"['PA Patel', 'V Kohli']","['LH Ferguson', 'SP Narine', 'M Prasidh Krishna', 'PP Chawla']",53
M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"['RV Uthappa', 'SP Narine', 'CA Lynn']","['TG Southee', 'NA Saini', 'YS Chahal']",55
MA Chidambaram Stadium,1,Chennai Super Kings,Kings XI Punjab,"['F du Plessis', 'SR Watson']","['SM Curran', 'Mohammed Shami', 'AJ Tye', 'R Ashwin']",53
MA Chidambaram Stadium,2,Kings XI Punjab,Chennai Super Kings,"['SN Khan', 'CH Gayle', 'MA Agarwal', 'KL Rahul']","['Harbhajan Singh', 'DL Chahar', 'SC Kuggeleijn']",46
Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,"['SA Yadav', 'Q de Kock', 'RG Sharma', 'Ishan Kishan']","['Mohammad Nabi', 'B Kumar', 'Sandeep Sharma']",30
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,"['V Shankar', 'MK Pandey', 'DA Warner', 'JM Bairstow']","['JJ Bumrah', 'AS Joseph', 'RD Chahar', 'JP Behrendorff']",39
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,"['PA Patel', 'V Kohli', 'AB de Villiers']","['I Sharma', 'CH Morris', 'K Rabada']",40
M.Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,"['PP Shaw', 'S Dhawan', 'SS Iyer']","['TG Southee', 'NA Saini', 'YS Chahal']",51
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"['SPD Smith', 'AM Rahane', 'JC Buttler']","['SP Narine', 'M Prasidh Krishna', 'PP Chawla']",28
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"['SP Narine', 'CA Lynn']","['DS Kulkarni', 'K Gowtham', 'JC Archer']",65
Punjab Cricket Association IS Bindra Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,"['V Shankar', 'DA Warner', 'JM Bairstow']","['Mohammed Shami', 'Mujeeb Ur Rahman', 'AS Rajpoot']",23
Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,"['CH Gayle', 'MA Agarwal', 'KL Rahul']","['Rashid Khan', 'Mohammad Nabi', 'B Kumar', 'Sandeep Sharma']",38
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,"['KD Karthik', 'CA Lynn', 'RV Uthappa', 'SP Narine', 'N Rana', 'Shubman Gill']","['RA Jadeja', 'Harbhajan Singh', 'DL Chahar']",29
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,"['F du Plessis', 'SR Watson', 'SK Raina', 'AT Rayudu']","['SP Narine', 'M Prasidh Krishna', 'PP Chawla']",40
Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,"['CH Gayle', 'KL Rahul']","['JJ Bumrah', 'AS Joseph', 'JP Behrendorff']",50
Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,"['SD Lad', 'SA Yadav', 'Q de Kock']","['GC Viljoen', 'Mohammed Shami', 'AS Rajpoot']",50
Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,"['SPD Smith', 'SV Samson', 'JC Buttler', 'RA Tripathi', 'AM Rahane']","['MJ Santner', 'SN Thakur', 'DL Chahar']",53
Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,"['F du Plessis', 'SR Watson', 'SK Raina', 'AT Rayudu', 'KM Jadhav', 'MS Dhoni']","['JD Unadkat', 'DS Kulkarni', 'JC Archer']",24
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,"['RV Uthappa', 'Shubman Gill', 'JL Denly']","['I Sharma', 'CH Morris', 'AR Patel', 'K Rabada']",41
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,"['PP Shaw', 'S Dhawan', 'RR Pant', 'SS Iyer']","['LH Ferguson', 'AD Russell', 'M Prasidh Krishna']",57
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"['Q de Kock', 'RG Sharma']","['JD Unadkat', 'DS Kulkarni', 'K Gowtham', 'JC Archer']",57
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"['AM Rahane', 'JC Buttler']","['RD Chahar', 'AS Joseph', 'JJ Bumrah', 'JP Behrendorff']",59
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"['CH Gayle', 'KL Rahul']","['Mohammed Siraj', 'NA Saini', 'UT Yadav']",60
Punjab Cricket Association IS Bindra Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"['PA Patel', 'V Kohli', 'AB de Villiers']","['M Ashwin', 'SM Curran', 'Mohammed Shami', 'R Ashwin']",63
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"['SP Narine', 'CA Lynn', 'N Rana']","['RA Jadeja', 'MJ Santner', 'SN Thakur', 'DL Chahar']",49
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"['F du Plessis', 'SR Watson', 'SK Raina', 'AT Rayudu']","['HF Gurney', 'AD Russell', 'SP Narine', 'M Prasidh Krishna']",44
Rajiv Gandhi International Stadium,1,Delhi Capitals,Sunrisers Hyderabad,"['PP Shaw', 'S Dhawan', 'C Munro', 'SS Iyer']","['KK Ahmed', 'B Kumar', 'Sandeep Sharma']",47
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Capitals,"['DA Warner', 'JM Bairstow']","['I Sharma', 'CH Morris', 'K Rabada']",39
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"['PA Patel', 'V Kohli', 'AB de Villiers']","['SL Malinga', 'JJ Bumrah', 'JP Behrendorff']",44
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"['Q de Kock', 'RG Sharma']","['Mohammed Siraj', 'NA Saini', 'UT Yadav', 'YS Chahal']",67
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Rajasthan Royals,"['CH Gayle', 'MA Agarwal', 'KL Rahul']","['JD Unadkat', 'DS Kulkarni', 'JC Archer']",39
Punjab Cricket Association IS Bindra Stadium,2,Rajasthan Royals,Kings XI Punjab,"['RA Tripathi', 'SV Samson', 'JC Buttler']","['Mujeeb Ur Rahman', 'Arshdeep Singh']",46
Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,"['F du Plessis', 'SR Watson']","['KK Ahmed', 'B Kumar', 'Sandeep Sharma']",41
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,"['KS Williamson', 'DA Warner', 'JM Bairstow']","['SN Thakur', 'DL Chahar', 'Imran Tahir']",67
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Capitals,"['Q de Kock', 'RG Sharma']","['I Sharma', 'CH Morris', 'K Rabada', 'KMA Paul']",56
Arun Jaitley Stadium,2,Delhi Capitals,Mumbai Indians,"['PP Shaw', 'S Dhawan']","['SL Malinga', 'RD Chahar', 'HH Pandya', 'JJ Bumrah', 'J Yadav']",48
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,"['PA Patel', 'V Kohli', 'AD Nath']","['HF Gurney', 'SP Narine', 'M Prasidh Krishna']",42
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,"['CA Lynn', 'RV Uthappa', 'SP Narine', 'N Rana', 'Shubman Gill']","['Mohammed Siraj', 'DW Steyn', 'NA Saini']",37
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"['SA Yadav', 'Q de Kock', 'RG Sharma']","['JD Unadkat', 'JC Archer', 'S Gopal', 'STR Binny', 'DS Kulkarni']",45
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"['SPD Smith', 'SV Samson', 'AM Rahane']","['SL Malinga', 'RD Chahar', 'KH Pandya', 'HH Pandya', 'JJ Bumrah']",60
Arun Jaitley Stadium,1,Kings XI Punjab,Delhi Capitals,"['DA Miller', 'CH Gayle', 'MA Agarwal', 'KL Rahul']","['I Sharma', 'K Rabada', 'S Lamichhane']",50
Arun Jaitley Stadium,2,Delhi Capitals,Kings XI Punjab,"['PP Shaw', 'S Dhawan', 'SS Iyer']","['R Ashwin', 'Harpreet Brar', 'GC Viljoen', 'Mohammed Shami', 'SM Curran']",60
Rajiv Gandhi International Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,"['SP Narine', 'Shubman Gill', 'CA Lynn', 'N Rana']","['KK Ahmed', 'B Kumar', 'S Nadeem', 'Sandeep Sharma']",57
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,"['DA Warner', 'JM Bairstow']","['KC Cariappa', 'PP Chawla', 'SP Narine', 'Y Prithvi Raj', 'HF Gurney']",67
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"['PA Patel', 'V Kohli', 'AB de Villiers']","['SN Thakur', 'DL Chahar']",48
M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"['F du Plessis', 'SR Watson', 'SK Raina', 'AT Rayudu', 'KM Jadhav', 'MS Dhoni']","['DW Steyn', 'NA Saini', 'UT Yadav']",32
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Capitals,"['SPD Smith', 'AM Rahane']","['I Sharma', 'AR Patel', 'K Rabada']",52
Sawai Mansingh Stadium,2,Delhi Capitals,Rajasthan Royals,"['PP Shaw', 'S Dhawan']","['JD Unadkat', 'JC Archer', 'S Gopal', 'STR Binny', 'DS Kulkarni']",59
MA Chidambaram Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"['MK Pandey', 'DA Warner', 'JM Bairstow']","['Harbhajan Singh', 'DL Chahar']",52
MA Chidambaram Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,"['F du Plessis', 'SR Watson', 'SK Raina']","['KK Ahmed', 'B Kumar', 'Sandeep Sharma', 'Shakib Al Hasan']",49
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"['PA Patel', 'V Kohli', 'AB de Villiers']","['Mohammed Shami', 'AS Rajpoot']",69
M.Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"['CH Gayle', 'MA Agarwal', 'KL Rahul']","['TG Southee', 'NA Saini', 'UT Yadav', 'YS Chahal']",64
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,"['KD Karthik', 'Shubman Gill', 'CA Lynn', 'N Rana']","['O Thomas', 'JC Archer', 'VR Aaron']",32
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,"['SPD Smith', 'SV Samson', 'AM Rahane']","['CR Brathwaite', 'M Prasidh Krishna', 'AD Russell', 'SP Narine', 'Y Prithvi Raj']",55
MA Chidambaram Stadium,1,Mumbai Indians,Chennai Super Kings,"['E Lewis', 'Q de Kock', 'RG Sharma']","['Harbhajan Singh', 'DL Chahar']",45
MA Chidambaram Stadium,2,Chennai Super Kings,Mumbai Indians,"['M Vijay', 'SR Watson', 'SK Raina', 'AT Rayudu', 'KM Jadhav']","['SL Malinga', 'JJ Bumrah', 'KH Pandya', 'HH Pandya']",40
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"['KS Williamson', 'MK Pandey', 'DA Warner']","['JD Unadkat', 'O Thomas', 'S Gopal', 'VR Aaron']",51
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"['LS Livingstone', 'AM Rahane']","['S Kaul', 'B Kumar', 'KK Ahmed', 'Shakib Al Hasan', 'Rashid Khan']",60
Arun Jaitley Stadium,1,Delhi Capitals,Royal Challengers Bangalore,"['PP Shaw', 'S Dhawan', 'SS Iyer']","['Washington Sundar', 'NA Saini', 'UT Yadav', 'YS Chahal']",59
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Capitals,"['PA Patel', 'V Kohli', 'AB de Villiers']","['I Sharma', 'AR Patel', 'K Rabada', 'S Lamichhane']",64
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"['Shubman Gill', 'CA Lynn']","['SL Malinga', 'JJ Bumrah', 'KH Pandya', 'BB Sran']",50
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"['E Lewis', 'SA Yadav', 'Q de Kock', 'RG Sharma']","['HF Gurney', 'SP Narine', 'S Sandeep Warrier']",41
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,"['DA Warner', 'WP Saha']","['Mohammed Shami', 'R Ashwin', 'Mujeeb Ur Rahman', 'Arshdeep Singh']",68
Rajiv Gandhi International Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,"['CH Gayle', 'MA Agarwal', 'KL Rahul']","['Rashid Khan', 'KK Ahmed', 'B Kumar', 'Sandeep Sharma']",39
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"['MP Stoinis', 'AB de Villiers', 'Gurkeerat Singh', 'P Negi', 'PA Patel', 'V Kohli', 'H Klaasen']","['JD Unadkat', 'S Gopal', 'O Thomas', 'R Parag', 'VR Aaron']",61
M.Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"['LS Livingstone', 'SV Samson']","['NA Saini', 'UT Yadav', 'K Khejroliya', 'YS Chahal']",41
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,"['SR Watson', 'F du Plessis', 'SK Raina']","['TA Boult', 'CH Morris', 'J Suchith', 'AR Patel']",23
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,"['PP Shaw', 'S Dhawan', 'RR Pant', 'SS Iyer']","['Harbhajan Singh', 'DL Chahar']",59
Wankhede Stadium,1,Mumbai Indians,Sunrisers Hyderabad,"['SA Yadav', 'Q de Kock', 'RG Sharma']","['Rashid Khan', 'KK Ahmed', 'Mohammad Nabi', 'B Kumar']",40
Wankhede Stadium,2,Sunrisers Hyderabad,Mumbai Indians,"['KS Williamson', 'MK Pandey', 'MJ Guptill', 'WP Saha']","['SL Malinga', 'JJ Bumrah', 'BB Sran']",53
Wankhede Stadium,3,Sunrisers Hyderabad,Mumbai Indians,"['MK Pandey', 'Mohammad Nabi', 'MJ Guptill']",['JJ Bumrah'],8
Wankhede Stadium,4,Mumbai Indians,Sunrisers Hyderabad,"['HH Pandya', 'KA Pollard']",['Rashid Khan'],9
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Kolkata Knight Riders,"['N Pooran', 'CH Gayle', 'MA Agarwal', 'KL Rahul']","['HF Gurney', 'SP Narine', 'S Sandeep Warrier']",41
Punjab Cricket Association IS Bindra Stadium,2,Kolkata Knight Riders,Kings XI Punjab,"['Shubman Gill', 'CA Lynn']","['Mohammed Shami', 'R Ashwin', 'AJ Tye', 'Arshdeep Singh']",62
Arun Jaitley Stadium,1,Rajasthan Royals,Delhi Capitals,"['SV Samson', 'LS Livingstone', 'S Gopal', 'MK Lomror', 'AM Rahane', 'R Parag']","['TA Boult', 'AR Patel', 'I Sharma']",29
Arun Jaitley Stadium,2,Delhi Capitals,Rajasthan Royals,"['PP Shaw', 'S Dhawan', 'SS Iyer', 'RR Pant']","['K Gowtham', 'S Gopal', 'O Thomas', 'IS Sodhi', 'VR Aaron']",46
M.Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"['MK Pandey', 'MJ Guptill', 'WP Saha']","['NA Saini', 'UT Yadav', 'YS Chahal']",52
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,"['AB de Villiers', 'Gurkeerat Singh', 'PA Patel', 'V Kohli', 'SO Hetmyer']","['Rashid Khan', 'KK Ahmed', 'B Kumar']",43
Punjab Cricket Association IS Bindra Stadium,1,Chennai Super Kings,Kings XI Punjab,"['SR Watson', 'F du Plessis', 'SK Raina']","['SM Curran', 'Mohammed Shami', 'Harpreet Brar', 'R Ashwin']",41
Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Chennai Super Kings,"['CH Gayle', 'KL Rahul']","['Harbhajan Singh', 'DJ Bravo', 'DL Chahar']",67
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"['Shubman Gill', 'CA Lynn']","['SL Malinga', 'RD Chahar', 'KH Pandya', 'JJ Bumrah', 'MJ McClenaghan']",49
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"['Q de Kock', 'RG Sharma']","['HF Gurney', 'AD Russell', 'S Sandeep Warrier', 'SP Narine']",43
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,"['M Vijay', 'SR Watson', 'F du Plessis', 'SK Raina']","['SL Malinga', 'RD Chahar', 'KH Pandya', 'JJ Bumrah', 'J Yadav']",31
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,"['SA Yadav', 'Q de Kock', 'RG Sharma', 'Ishan Kishan']","['Harbhajan Singh', 'DL Chahar']",44
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Delhi Capitals,"['MK Pandey', 'MJ Guptill', 'WP Saha']","['TA Boult', 'AR Patel', 'I Sharma']",54
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Capitals,Sunrisers Hyderabad,"['PP Shaw', 'S Dhawan']","['Rashid Khan', 'KK Ahmed', 'Mohammad Nabi', 'B Kumar']",55
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Capitals,Chennai Super Kings,"['PP Shaw', 'S Dhawan', 'C Munro', 'SS Iyer']","['Harbhajan Singh', 'SN Thakur', 'DL Chahar']",37
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Chennai Super Kings,Delhi Capitals,"['SR Watson', 'F du Plessis']","['TA Boult', 'AR Patel', 'I Sharma']",42
Rajiv Gandhi International Stadium,1,Mumbai Indians,Chennai Super Kings,"['SA Yadav', 'Q de Kock', 'RG Sharma', 'Ishan Kishan']","['Harbhajan Singh', 'SN Thakur', 'DL Chahar']",44
Rajiv Gandhi International Stadium,2,Chennai Super Kings,Mumbai Indians,"['SR Watson', 'F du Plessis', 'SK Raina']","['SL Malinga', 'JJ Bumrah', 'KH Pandya', 'MJ McClenaghan']",53
Sheikh Zayed Stadium,1,Mumbai Indians,Chennai Super Kings,"['SS Tiwary', 'SA Yadav', 'Q de Kock', 'RG Sharma']","['SM Curran', 'L Ngidi', 'DL Chahar', 'PP Chawla']",46
Sheikh Zayed Stadium,2,Chennai Super Kings,Mumbai Indians,"['F du Plessis', 'SR Watson', 'M Vijay', 'AT Rayudu']","['TA Boult', 'JJ Bumrah', 'JL Pattinson']",31
Dubai International Cricket Stadium,1,Delhi Capitals,Kings XI Punjab,"['PP Shaw', 'S Dhawan', 'RR Pant', 'SO Hetmyer', 'SS Iyer']","['Mohammed Shami', 'SS Cottrell', 'CJ Jordan']",23
Dubai International Cricket Stadium,2,Kings XI Punjab,Delhi Capitals,"['MA Agarwal', 'N Pooran', 'GJ Maxwell', 'KK Nair', 'KL Rahul']","['MM Sharma', 'A Nortje', 'K Rabada', 'R Ashwin']",35
Dubai International Cricket Stadium,3,Kings XI Punjab,Delhi Capitals,"['N Pooran', 'KL Rahul']",['K Rabada'],2
Dubai International Cricket Stadium,4,Delhi Capitals,Kings XI Punjab,['RR Pant'],['Mohammed Shami'],3
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['KD Karthik', 'T Banton', 'RA Tripathi', 'N Rana', 'Shubman Gill', 'EJG Morgan']","['CH Morris', 'Mohammed Siraj', 'NA Saini']",17
Sheikh Zayed Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['AJ Finch', 'D Padikkal']","['M Prasidh Krishna', 'PJ Cummins', 'CV Varun']",43
Sharjah Cricket Stadium,1,Mumbai Indians,Sunrisers Hyderabad,"['SA Yadav', 'Q de Kock', 'RG Sharma', 'Ishan Kishan']","['JO Holder', 'S Nadeem', 'Sandeep Sharma']",48
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Mumbai Indians,"['DA Warner', 'WP Saha']","['RD Chahar', 'DS Kulkarni', 'JL Pattinson', 'NM Coulter-Nile']",55
Sharjah Cricket Stadium,1,Rajasthan Royals,Chennai Super Kings,"['YBK Jaiswal', 'SPD Smith', 'SV Samson']","['SM Curran', 'L Ngidi', 'DL Chahar']",54
Sharjah Cricket Stadium,2,Chennai Super Kings,Rajasthan Royals,"['SR Watson', 'M Vijay']","['JD Unadkat', 'S Gopal', 'TK Curran', 'JC Archer']",53
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Delhi Capitals,"['KD Karthik', 'RA Tripathi', 'Shubman Gill', 'N Rana']","['TU Deshpande', 'A Nortje', 'AR Patel', 'K Rabada']",36
Sheikh Zayed Stadium,2,Delhi Capitals,Kolkata Knight Riders,"['S Dhawan', 'RR Pant', 'AM Rahane', 'SS Iyer']","['KL Nagarkoti', 'M Prasidh Krishna', 'PJ Cummins']",33
Dubai International Cricket Stadium,1,Kings XI Punjab,Sunrisers Hyderabad,"['CH Gayle', 'Mandeep Singh', 'KL Rahul']","['KK Ahmed', 'JO Holder', 'Sandeep Sharma']",47
Dubai International Cricket Stadium,2,Sunrisers Hyderabad,Kings XI Punjab,"['DA Warner', 'JM Bairstow']","['M Ashwin', 'Mohammed Shami', 'Arshdeep Singh']",49
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"['JR Philippe', 'D Padikkal']","['TA Boult', 'JJ Bumrah', 'KH Pandya', 'JL Pattinson']",54
Sheikh Zayed Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"['SA Yadav', 'Q de Kock', 'Ishan Kishan']","['CH Morris', 'Mohammed Siraj', 'DW Steyn', 'Washington Sundar']",41
Sharjah Cricket Stadium,1,Delhi Capitals,Rajasthan Royals,"['PP Shaw', 'S Dhawan', 'RR Pant', 'SS Iyer']","['JC Archer', 'AJ Tye', 'VR Aaron', 'Kartik Tyagi']",44
Sharjah Cricket Stadium,2,Rajasthan Royals,Delhi Capitals,"['YBK Jaiswal', 'SPD Smith', 'JC Buttler']","['HV Patel', 'A Nortje', 'K Rabada', 'R Ashwin']",31
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Chennai Super Kings,"['RA Tripathi', 'Shubman Gill', 'N Rana']","['SM Curran', 'SN Thakur', 'DL Chahar']",51
Sheikh Zayed Stadium,2,Chennai Super Kings,Kolkata Knight Riders,"['F du Plessis', 'SR Watson', 'AT Rayudu']","['Shivam Mavi', 'PJ Cummins']",53
Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"['V Kohli', 'JR Philippe', 'D Padikkal', 'AB de Villiers']","['JO Holder', 'T Natarajan', 'Sandeep Sharma']",26
Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"['MK Pandey', 'DA Warner', 'WP Saha']","['CH Morris', 'Mohammed Siraj', 'Washington Sundar', 'NA Saini']",52
Sheikh Zayed Stadium,1,Mumbai Indians,Kings XI Punjab,"['SA Yadav', 'Q de Kock', 'RG Sharma', 'Ishan Kishan']","['Ravi Bishnoi', 'Mohammed Shami', 'K Gowtham', 'SS Cottrell']",40
Sheikh Zayed Stadium,2,Kings XI Punjab,Mumbai Indians,"['N Pooran', 'MA Agarwal', 'KK Nair', 'KL Rahul']","['TA Boult', 'KH Pandya', 'JL Pattinson', 'JJ Bumrah']",39
Dubai International Cricket Stadium,1,Kolkata Knight Riders,Rajasthan Royals,"['SP Narine', 'Shubman Gill', 'N Rana']","['JD Unadkat', 'TK Curran', 'JC Archer', 'AS Rajpoot']",42
Dubai International Cricket Stadium,2,Rajasthan Royals,Kolkata Knight Riders,"['RV Uthappa', 'SPD Smith', 'SV Samson', 'JC Buttler']","['Shivam Mavi', 'SP Narine', 'PJ Cummins']",37
Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Delhi Capitals,"['V Kohli', 'JR Philippe', 'D Padikkal']","['DR Sams', 'A Nortje', 'K Rabada', 'R Ashwin']",40
Sheikh Zayed Stadium,2,Delhi Capitals,Royal Challengers Bangalore,"['PP Shaw', 'S Dhawan', 'AM Rahane']","['CH Morris', 'Mohammed Siraj', 'Washington Sundar', 'I Udana']",53
Sheikh Zayed Stadium,1,Kings XI Punjab,Chennai Super Kings,"['CH Gayle', 'MA Agarwal', 'KL Rahul']","['SM Curran', 'SN Thakur', 'DL Chahar', 'L Ngidi']",53
Sheikh Zayed Stadium,2,Chennai Super Kings,Kings XI Punjab,"['F du Plessis', 'RD Gaikwad']","['Ravi Bishnoi', 'Mohammed Shami', 'CJ Jordan', 'JDS Neesham']",53
Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"['MK Pandey', 'DA Warner', 'JM Bairstow']","['JD Unadkat', 'S Gopal', 'JC Archer', 'Kartik Tyagi']",26
Dubai International Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,"['SPD Smith', 'SV Samson', 'JC Buttler', 'RV Uthappa', 'BA Stokes']","['KK Ahmed', 'T Natarajan', 'Sandeep Sharma']",36
Sheikh Zayed Stadium,1,Mumbai Indians,Kolkata Knight Riders,"['SA Yadav', 'Q de Kock', 'RG Sharma']","['Shivam Mavi', 'S Sandeep Warrier', 'SP Narine', 'PJ Cummins']",53
Sheikh Zayed Stadium,2,Kolkata Knight Riders,Mumbai Indians,"['KD Karthik', 'SP Narine', 'Shubman Gill', 'N Rana']","['TA Boult', 'JJ Bumrah', 'JL Pattinson', 'RD Chahar']",33
Sharjah Cricket Stadium,1,Chennai Super Kings,Delhi Capitals,"['SM Curran', 'SR Watson', 'F du Plessis']","['TU Deshpande', 'A Nortje', 'AR Patel', 'K Rabada']",35
Sharjah Cricket Stadium,2,Delhi Capitals,Chennai Super Kings,"['PP Shaw', 'S Dhawan', 'AM Rahane', 'SS Iyer']","['SM Curran', 'SN Thakur', 'DL Chahar']",41
Dubai International Cricket Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"['MA Agarwal', 'KL Rahul']","['DW Steyn', 'NA Saini', 'UT Yadav']",48
Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"['AB de Villiers', 'AJ Finch', 'V Kohli', 'JR Philippe', 'D Padikkal']","['Ravi Bishnoi', 'Mohammed Shami', 'SS Cottrell']",33
Sheikh Zayed Stadium,1,Mumbai Indians,Rajasthan Royals,"['SA Yadav', 'Q de Kock', 'RG Sharma']","['TK Curran', 'JC Archer', 'S Gopal', 'AS Rajpoot', 'Kartik Tyagi']",53
Sheikh Zayed Stadium,2,Rajasthan Royals,Mumbai Indians,"['SPD Smith', 'SV Samson', 'JC Buttler', 'YBK Jaiswal', 'MK Lomror']","['TA Boult', 'JJ Bumrah', 'JL Pattinson']",31
Sheikh Zayed Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,"['RA Tripathi', 'Shubman Gill']","['T Natarajan', 'Basil Thampi', 'Sandeep Sharma']",48
Sheikh Zayed Stadium,2,Sunrisers Hyderabad,Kolkata Knight Riders,"['KS Williamson', 'JM Bairstow']","['AD Russell', 'Shivam Mavi', 'PJ Cummins', 'CV Varun']",54
